order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full,product_name,category,customer_name,city,total_amount
FMR34203601,2025-03-01,789203,25891601,110,2025-03-04,2025-03-04,110,1,1,1,AM Tea 500,beverages,Rel Fresh,Vadodara,24750.0
FMR32320302,2025-03-01,789320,25891203,347,2025-03-02,2025-03-02,347,1,1,1,AM Butter 500,Dairy,Whole Foods Market,"New Jersey, US",271049.54
FMR33320501,2025-03-01,789320,25891203,187,2025-03-03,2025-03-03,150,0,1,0,AM Butter 500,Dairy,Whole Foods Market,"New Jersey, US",146069.93
FMR34220601,2025-03-01,789220,25891203,235,2025-03-04,2025-03-04,235,1,1,1,AM Butter 500,Dairy,ShopRite,"New Jersey, US",183563.81
FMR33703603,2025-03-01,789703,25891203,176,2025-03-03,2025-03-03,176,1,1,1,AM Butter 500,Dairy,Sorefoz Mart,Vadodara,52800.0
FMR33721603,2025-03-01,789721,25891203,345,2025-03-03,2025-03-03,345,1,1,1,AM Butter 500,Dairy,Logic Stores,Ahmedabad,103500.0
FMR33420203,2025-03-01,789420,25891203,138,2025-03-03,2025-03-06,138,1,0,0,AM Butter 500,Dairy,Lidl,"New Jersey, US",107794.92
FMR34420402,2025-03-01,789420,25891203,381,2025-03-04,2025-03-05,381,1,0,0,AM Butter 500,Dairy,Lidl,"New Jersey, US",297607.71
FMR32403401,2025-03-01,789403,25891203,348,2025-03-02,2025-03-02,348,1,1,1,AM Butter 500,Dairy,Propel Mart,Vadodara,104400.0
FMR34121203,2025-03-01,789121,25891203,480,2025-03-04,2025-03-06,480,1,0,0,AM Butter 500,Dairy,Coolblue,Ahmedabad,144000.0
FMR32501601,2025-03-01,789501,25891203,478,2025-03-02,2025-03-02,478,1,1,1,AM Butter 500,Dairy,Best Market,"New Jersey, US",373376.6
FMR34501203,2025-03-01,789501,25891203,491,2025-03-04,2025-03-04,491,1,1,1,AM Butter 500,Dairy,Best Market,"New Jersey, US",383531.2
FMR34102602,2025-03-01,789102,25891203,407,2025-03-04,2025-03-04,387,0,1,0,AM Butter 500,Dairy,Vijay Stores,Ahmedabad,122100.0
FMR33902203,2025-03-01,789902,25891203,299,2025-03-03,2025-03-03,299,1,1,1,AM Butter 500,Dairy,Elite Mart,Ahmedabad,89700.0
FMR34903603,2025-03-01,789903,25891203,329,2025-03-04,2025-03-04,329,1,1,1,AM Butter 500,Dairy,Elite Mart,Vadodara,98700.0
FMR32421203,2025-03-01,789421,25891203,441,2025-03-02,2025-03-03,419,0,0,0,AM Butter 500,Dairy,Lotus Mart,Ahmedabad,132300.0
FMR33421203,2025-03-01,789421,25891203,104,2025-03-03,2025-03-06,99,0,0,0,AM Butter 500,Dairy,Lotus Mart,Ahmedabad,31200.0
FMR33402203,2025-03-01,789402,25891203,491,2025-03-03,2025-03-05,491,1,0,0,AM Butter 500,Dairy,Propel Mart,Ahmedabad,147300.0
FMR33621603,2025-03-01,789621,25891203,138,2025-03-03,2025-03-03,138,1,1,1,AM Butter 500,Dairy,Expert Mart,Ahmedabad,41400.0
FMR34520301,2025-03-01,789520,25891203,172,2025-03-04,2025-03-04,155,0,1,0,AM Butter 500,Dairy,Fairway Market,"New Jersey, US",134353.09
FMR33702302,2025-03-01,789702,25891302,38,2025-03-03,2025-03-03,30,0,1,0,AM Ghee 150,Dairy,Sorefoz Mart,Ahmedabad,5130.0
FMR32320302,2025-03-01,789320,25891302,54,2025-03-02,2025-03-02,54,1,1,1,AM Ghee 150,Dairy,Whole Foods Market,"New Jersey, US",18746.94
FMR34603302,2025-03-01,789603,25891302,37,2025-03-04,2025-03-04,37,1,1,1,AM Ghee 150,Dairy,Info Stores,Vadodara,4995.0
FMR34721502,2025-03-01,789721,25891302,63,2025-03-04,2025-03-05,60,0,0,0,AM Ghee 150,Dairy,Logic Stores,Ahmedabad,8505.0
FMR33621302,2025-03-01,789621,25891302,56,2025-03-03,2025-03-04,56,1,0,0,AM Ghee 150,Dairy,Expert Mart,Ahmedabad,7560.0
FMR32520302,2025-03-01,789520,25891302,54,2025-03-02,2025-03-03,49,0,0,0,AM Ghee 150,Dairy,Fairway Market,"New Jersey, US",18746.94
FMR33520601,2025-03-01,789520,25891302,42,2025-03-03,2025-03-05,34,0,0,0,AM Ghee 150,Dairy,Fairway Market,"New Jersey, US",14580.96
FMR34520302,2025-03-01,789520,25891302,23,2025-03-04,2025-03-05,22,0,0,0,AM Ghee 150,Dairy,Fairway Market,"New Jersey, US",7984.81
FMR32420602,2025-03-01,789420,25891302,49,2025-03-02,2025-03-04,49,1,0,0,AM Ghee 150,Dairy,Lidl,"New Jersey, US",17011.11
FMR32902402,2025-03-01,789902,25891302,70,2025-03-02,2025-03-02,70,1,1,1,AM Ghee 150,Dairy,Elite Mart,Ahmedabad,9450.0
FMR32521302,2025-03-01,789521,25891302,34,2025-03-02,2025-03-03,34,1,0,0,AM Ghee 150,Dairy,Acclaimed Stores,Ahmedabad,4590.0
FMR32720302,2025-03-01,789720,25891302,49,2025-03-02,2025-03-02,49,1,1,1,AM Ghee 150,Dairy,Colonial Farms,"New Jersey, US",17011.11
FMR33401603,2025-03-01,789401,25891302,40,2025-03-03,2025-03-03,40,1,1,1,AM Ghee 150,Dairy,Wegmans,"New Jersey, US",13886.62
FMR33121302,2025-03-01,789121,25891302,26,2025-03-03,2025-03-03,26,1,1,1,AM Ghee 150,Dairy,Coolblue,Ahmedabad,3510.0
FMR32903403,2025-03-01,789903,25891302,42,2025-03-02,2025-03-02,40,0,1,0,AM Ghee 150,Dairy,Elite Mart,Vadodara,5670.0
FMR32422302,2025-03-01,789422,25891302,67,2025-03-02,2025-03-05,54,0,0,0,AM Ghee 150,Dairy,Lotus Mart,Vadodara,9045.0
FMR32301302,2025-03-01,789301,25891302,29,2025-03-02,2025-03-05,29,1,0,0,AM Ghee 150,Dairy,Foodtown,"New Jersey, US",10067.8
FMR33721603,2025-03-01,789721,25891301,59,2025-03-03,2025-03-03,59,1,1,1,AM Ghee 250,Dairy,Logic Stores,Ahmedabad,13275.0
FMR32420403,2025-03-01,789420,25891301,87,2025-03-02,2025-03-02,87,1,1,1,AM Ghee 250,Dairy,Lidl,"New Jersey, US",45305.11
FMR33420301,2025-03-01,789420,25891301,23,2025-03-03,2025-03-05,18,0,0,0,AM Ghee 250,Dairy,Lidl,"New Jersey, US",11977.21
FMR33320501,2025-03-01,789320,25891301,46,2025-03-03,2025-03-03,46,1,1,1,AM Ghee 250,Dairy,Whole Foods Market,"New Jersey, US",23954.43
FMR33122301,2025-03-01,789122,25891301,29,2025-03-03,2025-03-05,26,0,0,0,AM Ghee 250,Dairy,Coolblue,Vadodara,6525.0
FMR34101301,2025-03-01,789101,25891301,76,2025-03-04,2025-03-04,76,1,1,1,AM Ghee 250,Dairy,Costco Wholesale,"New Jersey, US",39576.88
FMR33421301,2025-03-01,789421,25891301,75,2025-03-03,2025-03-05,67,0,0,0,AM Ghee 250,Dairy,Lotus Mart,Ahmedabad,16875.0
FMR34421301,2025-03-01,789421,25891301,47,2025-03-04,2025-03-04,45,0,1,0,AM Ghee 250,Dairy,Lotus Mart,Ahmedabad,10575.0
FMR34103403,2025-03-01,789103,25891301,71,2025-03-04,2025-03-04,67,0,1,0,AM Ghee 250,Dairy,Vijay Stores,Vadodara,15975.0
FMR32121301,2025-03-01,789121,25891301,72,2025-03-02,2025-03-03,65,0,0,0,AM Ghee 250,Dairy,Coolblue,Ahmedabad,16200.0
FMR34203601,2025-03-01,789203,25891301,100,2025-03-04,2025-03-04,100,1,1,1,AM Ghee 250,Dairy,Rel Fresh,Vadodara,22500.0
FMR33402303,2025-03-01,789402,25891301,94,2025-03-03,2025-03-03,94,1,1,1,AM Ghee 250,Dairy,Propel Mart,Ahmedabad,21150.0
FMR34221301,2025-03-01,789221,25891301,44,2025-03-04,2025-03-04,44,1,1,1,AM Ghee 250,Dairy,Atlas Stores,Ahmedabad,9900.0
FMR34202301,2025-03-01,789202,25891301,45,2025-03-04,2025-03-04,45,1,1,1,AM Ghee 250,Dairy,Rel Fresh,Ahmedabad,10125.0
FMR32522301,2025-03-01,789522,25891301,46,2025-03-02,2025-03-03,46,1,0,0,AM Ghee 250,Dairy,Acclaimed Stores,Vadodara,10350.0
FMR34522403,2025-03-01,789522,25891301,47,2025-03-04,2025-03-05,38,0,0,0,AM Ghee 250,Dairy,Acclaimed Stores,Vadodara,10575.0
FMR34520301,2025-03-01,789520,25891301,38,2025-03-04,2025-03-04,34,0,1,0,AM Ghee 250,Dairy,Fairway Market,"New Jersey, US",19788.44
FMR33301301,2025-03-01,789301,25891301,92,2025-03-03,2025-03-03,83,0,1,0,AM Ghee 250,Dairy,Foodtown,"New Jersey, US",47908.85
FMR34303602,2025-03-01,789303,25891301,44,2025-03-04,2025-03-04,40,0,1,0,AM Ghee 250,Dairy,Expression Stores,Vadodara,9900.0
FMR33220603,2025-03-01,789220,25891301,75,2025-03-03,2025-03-03,75,1,1,1,AM Ghee 250,Dairy,ShopRite,"New Jersey, US",39056.13
